# discard: [14]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7  8 10 11 13 15 16] 
0 4.22250e-02 4.09834e-02 
1 4.30373e-02 4.18552e-02 
2 3.96152e-02 3.81040e-02 
3 3.91094e-02 3.78667e-02 
4 4.29035e-02 4.12628e-02 
5 4.21482e-02 4.01438e-02 
6 4.17597e-02 4.08057e-02 
7 4.33629e-02 4.12850e-02 
8 4.07961e-02 3.92388e-02 
9 4.42823e-02 4.26426e-02 
10 4.41948e-02 4.20912e-02 
11 4.22801e-02 4.06605e-02 
12 4.08083e-02 3.94754e-02 
13 4.18731e-02 4.05383e-02 
14 4.46077e-02 4.30481e-02 
15 4.06519e-02 3.91471e-02 
16 4.27815e-02 4.06934e-02 
17 4.24629e-02 4.09190e-02 
18 4.12148e-02 4.01691e-02 
19 4.36376e-02 4.19310e-02 
20 5.13771e-02 4.78526e-02 
21 7.40963e-02 6.99050e-02 
22 4.35950e-02 4.20822e-02 
23 4.69353e-02 4.49427e-02 
24 4.25999e-02 4.04637e-02 
25 4.02683e-02 3.88524e-02 
26 4.08636e-02 3.92335e-02 
27 4.00581e-02 3.86449e-02 
28 4.74002e-02 4.38130e-02 
29 3.94083e-02 3.81039e-02 
30 3.96093e-02 3.83165e-02 
31 3.94803e-02 3.82504e-02 
32 3.92308e-02 3.79166e-02 
33 3.95775e-02 3.83529e-02 
34 3.90945e-02 3.78243e-02 
35 3.88194e-02 3.77435e-02 
36 3.96195e-02 3.82950e-02 
37 3.99459e-02 3.84649e-02 
38 3.91650e-02 3.78870e-02 
39 3.92314e-02 3.79305e-02 
40 4.01482e-02 3.88041e-02 
41 3.89521e-02 3.76767e-02 
42 3.91922e-02 3.78504e-02 
43 3.95192e-02 3.82288e-02 
44 3.93590e-02 3.78999e-02 
45 3.96309e-02 3.84740e-02 
46 3.90082e-02 3.76610e-02 
47 4.66848e-02 4.30077e-02 
48 3.91176e-02 3.78212e-02 
49 3.89295e-02 3.76415e-02 
50 4.00083e-02 3.83774e-02 
51 3.90323e-02 3.77747e-02 
52 3.87209e-02 3.73928e-02 
53 3.87978e-02 3.73873e-02 
54 3.88021e-02 3.74328e-02 
55 4.02729e-02 3.85640e-02 
56 3.90159e-02 3.76448e-02 
57 3.97215e-02 3.82299e-02 
58 3.87580e-02 3.74322e-02 
59 3.88400e-02 3.75367e-02 
60 4.25249e-02 4.04772e-02 
61 3.89012e-02 3.75105e-02 
62 3.89038e-02 3.75397e-02 
63 4.15188e-02 3.96216e-02 
64 3.93102e-02 3.77880e-02 
65 3.93065e-02 3.79893e-02 
66 3.86420e-02 3.73519e-02 
67 3.89453e-02 3.75871e-02 
68 3.89582e-02 3.76453e-02 
69 4.01000e-02 3.85220e-02 
70 3.89585e-02 3.75866e-02 
71 3.89400e-02 3.75337e-02 
72 3.91252e-02 3.77407e-02 
73 3.88104e-02 3.74545e-02 
74 5.31131e-02 4.92507e-02 
75 3.88814e-02 3.75281e-02 
76 3.88204e-02 3.74757e-02 
77 4.00330e-02 3.85674e-02 
78 3.94604e-02 3.79965e-02 
79 4.02621e-02 3.85706e-02 
80 3.88403e-02 3.75413e-02 
81 3.88510e-02 3.75757e-02 
82 3.90476e-02 3.76702e-02 
83 3.88914e-02 3.76487e-02 
84 3.88092e-02 3.74931e-02 
85 3.90384e-02 3.76545e-02 
86 3.87067e-02 3.74048e-02 
87 3.87146e-02 3.74272e-02 
88 3.90815e-02 3.77039e-02 
89 4.39397e-02 4.09517e-02 
90 3.86552e-02 3.74254e-02 
91 3.86928e-02 3.74017e-02 
92 3.86171e-02 3.73151e-02 
93 3.86670e-02 3.73506e-02 
94 3.91662e-02 3.77663e-02 
95 3.86477e-02 3.73881e-02 
96 4.03911e-02 3.86133e-02 
97 3.86010e-02 3.74529e-02 
98 3.86961e-02 3.75264e-02 
99 3.88866e-02 3.76458e-02 
