# discard: [5]
# discarded: [9, 12]
# [ 0  1  2  3  4  6  7  8 10 11 13 14 15 16] 
0 4.35693e-02 4.18606e-02 
1 4.24106e-02 4.06751e-02 
2 3.98800e-02 3.85056e-02 
3 4.93401e-02 4.57813e-02 
4 4.59487e-02 4.33321e-02 
5 4.40515e-02 4.21569e-02 
6 4.41922e-02 4.17215e-02 
7 4.40080e-02 4.15443e-02 
8 4.64531e-02 4.42046e-02 
9 4.28348e-02 4.16432e-02 
10 9.52004e-02 9.22999e-02 
11 4.17068e-02 3.98386e-02 
12 4.17213e-02 4.00924e-02 
13 5.17138e-02 4.75743e-02 
14 4.07327e-02 3.94864e-02 
15 4.49347e-02 4.31817e-02 
16 4.37825e-02 4.22958e-02 
17 4.24097e-02 4.07582e-02 
18 4.38274e-02 4.16104e-02 
19 4.35517e-02 4.12587e-02 
20 5.30233e-02 4.91566e-02 
21 4.30919e-02 4.16286e-02 
22 4.22899e-02 4.11679e-02 
23 4.22468e-02 4.08798e-02 
24 3.94016e-02 3.79851e-02 
25 3.95296e-02 3.81813e-02 
26 3.95542e-02 3.80980e-02 
27 3.95420e-02 3.82226e-02 
28 3.94878e-02 3.81281e-02 
29 5.12936e-02 4.71895e-02 
30 3.94403e-02 3.81430e-02 
31 3.95385e-02 3.82591e-02 
32 4.01331e-02 3.89373e-02 
33 3.94893e-02 3.82386e-02 
34 3.98924e-02 3.86070e-02 
35 3.98012e-02 3.85542e-02 
36 3.89836e-02 3.77150e-02 
37 3.89894e-02 3.77414e-02 
38 3.90201e-02 3.77264e-02 
39 3.90510e-02 3.77654e-02 
40 3.90429e-02 3.77261e-02 
41 3.90034e-02 3.77722e-02 
42 3.91481e-02 3.77775e-02 
43 4.09565e-02 3.91049e-02 
44 4.02534e-02 3.85980e-02 
45 3.98385e-02 3.83986e-02 
46 5.10083e-02 4.69576e-02 
47 3.93575e-02 3.79418e-02 
48 3.94439e-02 3.80363e-02 
49 4.00604e-02 3.85004e-02 
50 3.91126e-02 3.78699e-02 
51 3.91727e-02 3.78010e-02 
52 3.95411e-02 3.80484e-02 
53 3.92697e-02 3.79251e-02 
54 3.93263e-02 3.80318e-02 
55 3.94688e-02 3.81611e-02 
56 3.94039e-02 3.79849e-02 
57 4.34208e-02 4.11846e-02 
58 4.22569e-02 3.98954e-02 
59 3.91278e-02 3.77624e-02 
60 4.16841e-02 3.97677e-02 
61 3.90672e-02 3.78459e-02 
62 3.91440e-02 3.78834e-02 
63 3.93454e-02 3.78860e-02 
64 3.93013e-02 3.79270e-02 
65 3.95110e-02 3.81282e-02 
66 3.94392e-02 3.81889e-02 
67 3.93162e-02 3.79576e-02 
68 4.00797e-02 3.85833e-02 
69 5.20025e-02 4.80388e-02 
70 3.94134e-02 3.79664e-02 
71 3.90872e-02 3.78766e-02 
72 3.91884e-02 3.78185e-02 
73 3.92034e-02 3.78677e-02 
74 3.99091e-02 3.83378e-02 
75 3.93986e-02 3.81357e-02 
76 3.92897e-02 3.79927e-02 
77 4.25532e-02 4.04318e-02 
78 4.27009e-02 4.01564e-02 
79 3.98938e-02 3.86182e-02 
80 5.04177e-02 4.67983e-02 
81 3.90611e-02 3.78129e-02 
82 3.91487e-02 3.78285e-02 
83 3.92569e-02 3.80295e-02 
84 3.93427e-02 3.79413e-02 
85 3.90176e-02 3.77682e-02 
86 3.95017e-02 3.80423e-02 
87 3.93154e-02 3.80273e-02 
88 4.24518e-02 4.03471e-02 
89 3.93441e-02 3.79220e-02 
90 3.92288e-02 3.79280e-02 
91 3.91560e-02 3.78472e-02 
92 3.90316e-02 3.77035e-02 
93 3.91874e-02 3.77823e-02 
94 3.91588e-02 3.77508e-02 
95 3.92429e-02 3.80081e-02 
96 4.01604e-02 3.89182e-02 
97 3.96206e-02 3.83280e-02 
98 3.90498e-02 3.77868e-02 
99 3.93131e-02 3.80010e-02 
