# discard: [11]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7  8 10 13 14 15 16] 
0 4.81037e-02 4.58188e-02 
1 4.63499e-02 4.45058e-02 
2 4.60327e-02 4.37146e-02 
3 5.38493e-02 4.97191e-02 
4 4.51922e-02 4.29980e-02 
5 4.53566e-02 4.30301e-02 
6 4.61691e-02 4.37907e-02 
7 5.19627e-02 4.82324e-02 
8 4.67335e-02 4.46598e-02 
9 4.56770e-02 4.34750e-02 
10 4.63475e-02 4.34984e-02 
11 4.72401e-02 4.41230e-02 
12 5.71810e-02 5.24525e-02 
13 4.39227e-02 4.16740e-02 
14 4.79906e-02 4.52173e-02 
15 5.03472e-02 4.69659e-02 
16 4.69629e-02 4.44490e-02 
17 4.64577e-02 4.45033e-02 
18 4.79036e-02 4.48677e-02 
19 4.72569e-02 4.49172e-02 
20 4.59653e-02 4.31252e-02 
21 4.77502e-02 4.54013e-02 
22 4.55308e-02 4.29315e-02 
23 5.75467e-02 5.28651e-02 
24 4.79795e-02 4.50969e-02 
25 4.54658e-02 4.31592e-02 
26 4.43457e-02 4.24510e-02 
27 4.34034e-02 4.12682e-02 
28 4.34211e-02 4.12088e-02 
29 4.35771e-02 4.13414e-02 
30 4.34495e-02 4.12499e-02 
31 4.33598e-02 4.11385e-02 
32 4.31571e-02 4.10483e-02 
33 4.34323e-02 4.12963e-02 
34 4.31194e-02 4.09198e-02 
35 4.38265e-02 4.15497e-02 
36 4.37634e-02 4.18487e-02 
37 4.50493e-02 4.24541e-02 
38 4.34892e-02 4.13555e-02 
39 4.32424e-02 4.10939e-02 
40 4.33108e-02 4.11758e-02 
41 4.33964e-02 4.12542e-02 
42 4.33363e-02 4.11311e-02 
43 4.36420e-02 4.14401e-02 
44 4.38994e-02 4.17823e-02 
45 4.38251e-02 4.17157e-02 
46 4.74960e-02 4.43843e-02 
47 4.34465e-02 4.12881e-02 
48 4.33378e-02 4.12134e-02 
49 4.58315e-02 4.31250e-02 
50 4.39062e-02 4.17540e-02 
51 4.33571e-02 4.12129e-02 
52 4.32846e-02 4.12259e-02 
53 4.34823e-02 4.12346e-02 
54 4.31670e-02 4.09180e-02 
55 4.35023e-02 4.13222e-02 
56 4.35898e-02 4.13385e-02 
57 4.67335e-02 4.37756e-02 
58 4.37535e-02 4.17012e-02 
59 4.44133e-02 4.20238e-02 
60 4.39079e-02 4.16417e-02 
61 4.33349e-02 4.12056e-02 
62 4.32494e-02 4.10870e-02 
63 4.36165e-02 4.13921e-02 
64 5.41684e-02 5.00094e-02 
65 4.35463e-02 4.14468e-02 
66 8.77428e-02 8.47999e-02 
67 4.36749e-02 4.14414e-02 
68 4.34134e-02 4.12195e-02 
69 4.57253e-02 4.30384e-02 
70 4.36823e-02 4.14090e-02 
71 4.35268e-02 4.14186e-02 
72 4.31674e-02 4.11214e-02 
73 4.32333e-02 4.09823e-02 
74 4.30137e-02 4.09818e-02 
75 4.32338e-02 4.10500e-02 
76 4.33287e-02 4.11383e-02 
77 4.31931e-02 4.10006e-02 
78 4.33045e-02 4.11092e-02 
79 4.47466e-02 4.21898e-02 
80 4.38682e-02 4.14778e-02 
81 4.30390e-02 4.08875e-02 
82 4.32341e-02 4.10600e-02 
83 4.32313e-02 4.10728e-02 
84 4.32057e-02 4.10066e-02 
85 5.47324e-02 5.07032e-02 
86 4.31051e-02 4.09625e-02 
87 4.32292e-02 4.10764e-02 
88 4.41674e-02 4.18139e-02 
89 4.30848e-02 4.09147e-02 
90 4.30207e-02 4.09335e-02 
91 4.31242e-02 4.09025e-02 
92 4.31568e-02 4.10872e-02 
93 4.31024e-02 4.09871e-02 
94 4.43426e-02 4.19480e-02 
95 4.48537e-02 4.29212e-02 
96 4.31480e-02 4.09881e-02 
97 4.32161e-02 4.10920e-02 
98 4.33135e-02 4.11026e-02 
99 4.53899e-02 4.28450e-02 
