# discard: [0]
# discarded: [9, 12]
# [ 1  2  3  4  5  6  7  8 10 11 13 14 15 16] 
0 4.39944e-02 4.24701e-02 
1 4.45181e-02 4.27764e-02 
2 4.76429e-02 4.45554e-02 
3 4.49492e-02 4.30362e-02 
4 4.17925e-02 4.05714e-02 
5 4.24727e-02 4.11425e-02 
6 4.69531e-02 4.47584e-02 
7 4.79938e-02 4.49139e-02 
8 4.34085e-02 4.22495e-02 
9 4.38199e-02 4.26270e-02 
10 4.49003e-02 4.35232e-02 
11 4.29566e-02 4.10262e-02 
12 4.29019e-02 4.12512e-02 
13 4.39568e-02 4.28159e-02 
14 4.06835e-02 3.93798e-02 
15 4.75293e-02 4.60194e-02 
16 4.44559e-02 4.31266e-02 
17 4.47861e-02 4.33487e-02 
18 4.27753e-02 4.15149e-02 
19 5.88187e-02 5.48771e-02 
20 5.10632e-02 4.77372e-02 
21 4.13086e-02 3.97636e-02 
22 5.73035e-02 5.34532e-02 
23 4.20963e-02 4.09498e-02 
24 4.37647e-02 4.23030e-02 
25 4.69030e-02 4.36807e-02 
26 4.03115e-02 3.89455e-02 
27 4.02230e-02 3.89454e-02 
28 4.00957e-02 3.89433e-02 
29 4.02838e-02 3.90106e-02 
30 4.08560e-02 3.95020e-02 
31 4.03975e-02 3.89146e-02 
32 4.02716e-02 3.90243e-02 
33 4.06796e-02 3.92725e-02 
34 4.02789e-02 3.88611e-02 
35 4.06659e-02 3.91968e-02 
36 4.09558e-02 3.97524e-02 
37 4.11678e-02 3.95933e-02 
38 4.11937e-02 3.99343e-02 
39 4.21008e-02 4.06728e-02 
40 4.03633e-02 3.89971e-02 
41 4.02796e-02 3.89383e-02 
42 4.02928e-02 3.89755e-02 
43 4.01215e-02 3.87593e-02 
44 4.01063e-02 3.88056e-02 
45 4.00965e-02 3.88229e-02 
46 4.00965e-02 3.87817e-02 
47 4.05351e-02 3.91567e-02 
48 4.00131e-02 3.87282e-02 
49 4.01718e-02 3.87902e-02 
50 4.15766e-02 3.99065e-02 
51 4.02027e-02 3.88445e-02 
52 4.00078e-02 3.87200e-02 
53 4.04703e-02 3.94187e-02 
54 4.02915e-02 3.88520e-02 
55 4.01267e-02 3.87336e-02 
56 4.12690e-02 3.96254e-02 
57 3.97774e-02 3.84610e-02 
58 4.98547e-02 4.59948e-02 
59 3.97950e-02 3.85312e-02 
60 4.00511e-02 3.86312e-02 
61 4.00623e-02 3.86432e-02 
62 4.01822e-02 3.86950e-02 
63 4.19374e-02 4.00686e-02 
64 4.84615e-02 4.48135e-02 
65 3.99309e-02 3.86700e-02 
66 4.02462e-02 3.88755e-02 
67 4.25362e-02 4.04202e-02 
68 4.08533e-02 3.92442e-02 
69 4.03292e-02 3.88855e-02 
70 4.16710e-02 3.99065e-02 
71 3.97151e-02 3.85074e-02 
72 3.97137e-02 3.84002e-02 
73 3.98896e-02 3.85825e-02 
74 4.00610e-02 3.87670e-02 
75 3.98068e-02 3.85368e-02 
76 4.10176e-02 3.97001e-02 
77 4.03304e-02 3.88619e-02 
78 4.02402e-02 3.91417e-02 
79 4.41196e-02 4.20761e-02 
80 4.34728e-02 4.27003e-02 
81 3.96934e-02 3.83932e-02 
82 3.97288e-02 3.84689e-02 
83 3.95728e-02 3.83280e-02 
84 3.95740e-02 3.83698e-02 
85 4.02228e-02 3.87973e-02 
86 3.96250e-02 3.84471e-02 
87 3.97351e-02 3.84242e-02 
88 3.96944e-02 3.84633e-02 
89 3.96132e-02 3.84670e-02 
90 3.97954e-02 3.85112e-02 
91 3.95220e-02 3.83270e-02 
92 3.95321e-02 3.83863e-02 
93 3.97853e-02 3.88482e-02 
94 3.95399e-02 3.83457e-02 
95 3.96361e-02 3.86012e-02 
96 3.96696e-02 3.84852e-02 
97 3.96793e-02 3.84617e-02 
98 3.97183e-02 3.85074e-02 
99 3.97658e-02 3.86187e-02 
