# discard: [1]
# discarded: [9, 12]
# [ 0  2  3  4  5  6  7  8 10 11 13 14 15 16] 
0 5.20369e-02 4.88279e-02 
1 4.86385e-02 4.61139e-02 
2 5.37363e-02 5.13222e-02 
3 5.05481e-02 4.83304e-02 
4 5.02843e-02 4.70936e-02 
5 5.35240e-02 4.98613e-02 
6 5.26088e-02 4.94127e-02 
7 4.86843e-02 4.60490e-02 
8 5.18833e-02 4.87953e-02 
9 4.93641e-02 4.65987e-02 
10 5.44855e-02 5.13510e-02 
11 5.14432e-02 4.85530e-02 
12 5.78869e-02 5.36877e-02 
13 4.75848e-02 4.51654e-02 
14 6.45799e-02 5.97428e-02 
15 5.03628e-02 4.78308e-02 
16 5.69141e-02 5.31645e-02 
17 4.94563e-02 4.70106e-02 
18 4.94236e-02 4.71355e-02 
19 5.13051e-02 4.82217e-02 
20 4.95921e-02 4.66224e-02 
21 5.45735e-02 5.07229e-02 
22 6.24557e-02 5.70209e-02 
23 5.03243e-02 4.77253e-02 
24 5.21781e-02 4.94305e-02 
25 4.79486e-02 4.52331e-02 
26 5.88627e-02 5.41280e-02 
27 4.74685e-02 4.48378e-02 
28 4.74844e-02 4.48611e-02 
29 4.79566e-02 4.51960e-02 
30 4.72503e-02 4.47612e-02 
31 4.73085e-02 4.47252e-02 
32 4.75245e-02 4.49461e-02 
33 4.74821e-02 4.49964e-02 
34 4.73876e-02 4.48709e-02 
35 5.17719e-02 4.76792e-02 
36 4.77590e-02 4.49777e-02 
37 4.81406e-02 4.53536e-02 
38 4.74756e-02 4.49069e-02 
39 4.87351e-02 4.57728e-02 
40 4.80951e-02 4.53043e-02 
41 4.75239e-02 4.49690e-02 
42 4.73652e-02 4.48726e-02 
43 4.74529e-02 4.48926e-02 
44 4.76212e-02 4.49784e-02 
45 4.85252e-02 4.58233e-02 
46 4.80740e-02 4.53645e-02 
47 4.84328e-02 4.59077e-02 
48 4.83749e-02 4.56688e-02 
49 4.77655e-02 4.52000e-02 
50 4.77323e-02 4.51665e-02 
51 4.74081e-02 4.47819e-02 
52 4.84320e-02 4.55425e-02 
53 5.97377e-02 5.48952e-02 
54 4.80444e-02 4.58127e-02 
55 4.75819e-02 4.49354e-02 
56 4.78030e-02 4.51946e-02 
57 4.77292e-02 4.50883e-02 
58 4.76585e-02 4.54046e-02 
59 5.15190e-02 4.80751e-02 
60 4.75261e-02 4.49024e-02 
61 4.74038e-02 4.47847e-02 
62 4.72427e-02 4.47040e-02 
63 4.73322e-02 4.48373e-02 
64 4.75532e-02 4.50464e-02 
65 4.78609e-02 4.50925e-02 
66 4.87819e-02 4.57694e-02 
67 4.72941e-02 4.48397e-02 
68 4.76216e-02 4.50943e-02 
69 4.75843e-02 4.50304e-02 
70 4.90421e-02 4.59041e-02 
71 4.73398e-02 4.47635e-02 
72 4.74058e-02 4.48166e-02 
73 4.79896e-02 4.51869e-02 
74 4.72632e-02 4.47319e-02 
75 4.73249e-02 4.47992e-02 
76 4.73808e-02 4.48139e-02 
77 4.74229e-02 4.47844e-02 
78 5.14274e-02 4.79324e-02 
79 4.78463e-02 4.54117e-02 
80 4.73373e-02 4.48660e-02 
81 4.73553e-02 4.49122e-02 
82 4.73942e-02 4.47881e-02 
83 4.75558e-02 4.50818e-02 
84 5.01811e-02 4.77161e-02 
85 4.97741e-02 4.66288e-02 
86 4.75107e-02 4.52068e-02 
87 4.76466e-02 4.49553e-02 
88 4.76682e-02 4.50474e-02 
89 4.72160e-02 4.48192e-02 
90 4.75009e-02 4.49600e-02 
91 4.73219e-02 4.49532e-02 
92 4.74128e-02 4.49146e-02 
93 4.73505e-02 4.48666e-02 
94 4.75046e-02 4.49691e-02 
95 4.90113e-02 4.67174e-02 
96 5.19350e-02 4.85255e-02 
97 4.96491e-02 4.73877e-02 
98 4.74623e-02 4.49846e-02 
99 4.72972e-02 4.48326e-02 
