# discard: [6]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  7  8 10 11 13 14 15 16] 
0 4.11245e-02 3.97015e-02 
1 4.23981e-02 4.03529e-02 
2 4.15444e-02 3.99779e-02 
3 4.22230e-02 4.03624e-02 
4 4.06606e-02 3.92600e-02 
5 9.98069e-02 9.73280e-02 
6 4.27075e-02 4.13904e-02 
7 6.81911e-02 6.32263e-02 
8 4.61975e-02 4.36168e-02 
9 4.25254e-02 4.11101e-02 
10 4.42955e-02 4.27349e-02 
11 4.08049e-02 3.92300e-02 
12 4.22741e-02 4.05820e-02 
13 4.36237e-02 4.18923e-02 
14 4.27066e-02 4.06738e-02 
15 4.54376e-02 4.34418e-02 
16 4.10464e-02 3.92188e-02 
17 4.07989e-02 3.93062e-02 
18 4.01626e-02 3.88455e-02 
19 4.27738e-02 4.12576e-02 
20 4.18566e-02 4.02304e-02 
21 4.32082e-02 4.10544e-02 
22 4.13446e-02 4.01308e-02 
23 4.39506e-02 4.17655e-02 
24 4.01557e-02 3.85120e-02 
25 4.02476e-02 3.89332e-02 
26 4.06340e-02 3.94020e-02 
27 3.93338e-02 3.78330e-02 
28 3.96064e-02 3.80494e-02 
29 4.01412e-02 3.84928e-02 
30 4.00665e-02 3.83738e-02 
31 3.99672e-02 3.83535e-02 
32 4.01305e-02 3.84828e-02 
33 3.90667e-02 3.78022e-02 
34 3.89285e-02 3.76576e-02 
35 3.91798e-02 3.78471e-02 
36 3.92733e-02 3.78844e-02 
37 3.92595e-02 3.77148e-02 
38 3.94703e-02 3.81243e-02 
39 3.93953e-02 3.79123e-02 
40 4.08348e-02 3.91455e-02 
41 3.92972e-02 3.78584e-02 
42 3.94122e-02 3.79750e-02 
43 3.95657e-02 3.80245e-02 
44 3.95240e-02 3.81161e-02 
45 3.89138e-02 3.75161e-02 
46 3.97341e-02 3.81365e-02 
47 3.92199e-02 3.78156e-02 
48 3.93525e-02 3.78590e-02 
49 3.89725e-02 3.75701e-02 
50 4.04342e-02 3.86630e-02 
51 3.88523e-02 3.75003e-02 
52 3.87914e-02 3.73756e-02 
53 3.87090e-02 3.73866e-02 
54 3.87853e-02 3.75081e-02 
55 3.91038e-02 3.78964e-02 
56 3.90118e-02 3.75256e-02 
57 3.87897e-02 3.74311e-02 
58 4.10799e-02 3.91742e-02 
59 3.87730e-02 3.73330e-02 
60 3.90667e-02 3.75772e-02 
61 3.87458e-02 3.73583e-02 
62 3.87850e-02 3.74217e-02 
63 3.89850e-02 3.75120e-02 
64 3.88190e-02 3.74554e-02 
65 3.87754e-02 3.73357e-02 
66 3.88041e-02 3.73659e-02 
67 4.37929e-02 4.08495e-02 
68 4.11642e-02 3.93764e-02 
69 3.89965e-02 3.78855e-02 
70 3.96029e-02 3.82483e-02 
71 4.00028e-02 3.84005e-02 
72 3.95640e-02 3.80120e-02 
73 3.89174e-02 3.75004e-02 
74 3.89538e-02 3.76292e-02 
75 3.87333e-02 3.74183e-02 
76 3.95661e-02 3.84109e-02 
77 3.89731e-02 3.74968e-02 
78 3.92147e-02 3.76814e-02 
79 3.88497e-02 3.74123e-02 
80 4.24055e-02 4.04425e-02 
81 3.88036e-02 3.74220e-02 
82 3.87296e-02 3.73656e-02 
83 3.89403e-02 3.74913e-02 
84 3.88304e-02 3.75224e-02 
85 3.90955e-02 3.76499e-02 
86 3.89935e-02 3.75696e-02 
87 3.88856e-02 3.75204e-02 
88 3.91733e-02 3.78860e-02 
89 3.89427e-02 3.74775e-02 
90 3.89906e-02 3.75508e-02 
91 3.87819e-02 3.73771e-02 
92 3.88308e-02 3.75326e-02 
93 3.87894e-02 3.74227e-02 
94 3.87522e-02 3.74174e-02 
95 3.89342e-02 3.76490e-02 
96 3.89594e-02 3.74715e-02 
97 3.87944e-02 3.74509e-02 
98 3.92949e-02 3.78882e-02 
99 3.90414e-02 3.77592e-02 
