# discard: [13]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7  8 10 11 14 15 16] 
0 4.11429e-02 3.93569e-02 
1 4.38460e-02 4.21793e-02 
2 4.36096e-02 4.12541e-02 
3 4.00643e-02 3.88669e-02 
4 4.38407e-02 4.22477e-02 
5 4.10816e-02 4.00719e-02 
6 4.17554e-02 4.01836e-02 
7 4.66512e-02 4.35605e-02 
8 4.26774e-02 4.10861e-02 
9 4.20619e-02 4.09460e-02 
10 4.10540e-02 3.94812e-02 
11 4.10534e-02 3.96579e-02 
12 4.29004e-02 4.09377e-02 
13 4.14846e-02 4.03919e-02 
14 4.26369e-02 4.05484e-02 
15 4.17722e-02 4.07715e-02 
16 4.13655e-02 4.01565e-02 
17 4.57158e-02 4.38592e-02 
18 8.38472e-02 8.03078e-02 
19 4.31948e-02 4.18792e-02 
20 4.19022e-02 4.10525e-02 
21 4.39173e-02 4.24398e-02 
22 4.32752e-02 4.16490e-02 
23 4.31148e-02 4.11584e-02 
24 4.38395e-02 4.25821e-02 
25 4.15113e-02 4.00710e-02 
26 4.10025e-02 3.94360e-02 
27 4.21691e-02 4.05188e-02 
28 4.07463e-02 3.94448e-02 
29 4.10016e-02 3.96473e-02 
30 4.05714e-02 3.92249e-02 
31 4.06273e-02 3.92779e-02 
32 4.05748e-02 3.92138e-02 
33 4.08012e-02 3.92814e-02 
34 4.07602e-02 3.95913e-02 
35 3.99241e-02 3.88496e-02 
36 3.95941e-02 3.83153e-02 
37 3.95369e-02 3.82630e-02 
38 3.96427e-02 3.82670e-02 
39 3.95753e-02 3.82979e-02 
40 3.95298e-02 3.82458e-02 
41 3.95204e-02 3.82288e-02 
42 4.26863e-02 4.02345e-02 
43 4.07626e-02 3.90778e-02 
44 3.92149e-02 3.79897e-02 
45 3.93832e-02 3.81067e-02 
46 4.00746e-02 3.85852e-02 
47 3.93588e-02 3.81368e-02 
48 3.95505e-02 3.82547e-02 
49 3.97309e-02 3.82778e-02 
50 3.92593e-02 3.79202e-02 
51 3.92345e-02 3.79647e-02 
52 3.93689e-02 3.80291e-02 
53 4.02530e-02 3.87448e-02 
54 3.88779e-02 3.75978e-02 
55 3.88704e-02 3.76636e-02 
56 3.89693e-02 3.77453e-02 
57 3.89869e-02 3.77382e-02 
58 3.96770e-02 3.82965e-02 
59 3.93027e-02 3.79419e-02 
60 3.93370e-02 3.80095e-02 
61 3.92275e-02 3.78632e-02 
62 3.92510e-02 3.78418e-02 
63 3.88944e-02 3.76959e-02 
64 5.55501e-02 5.18104e-02 
65 4.34398e-02 4.07905e-02 
66 3.93224e-02 3.80348e-02 
67 3.92897e-02 3.79704e-02 
68 3.90086e-02 3.76628e-02 
69 3.91047e-02 3.79729e-02 
70 3.96714e-02 3.83610e-02 
71 3.90084e-02 3.77296e-02 
72 3.90836e-02 3.78435e-02 
73 3.92120e-02 3.77995e-02 
74 3.92547e-02 3.79335e-02 
75 3.92473e-02 3.81180e-02 
76 3.89139e-02 3.77188e-02 
77 3.96870e-02 3.83220e-02 
78 3.90357e-02 3.77681e-02 
79 4.28279e-02 4.08581e-02 
80 4.06600e-02 3.89746e-02 
81 3.90221e-02 3.77733e-02 
82 3.91088e-02 3.77651e-02 
83 3.91562e-02 3.78614e-02 
84 3.91801e-02 3.78769e-02 
85 3.89483e-02 3.77979e-02 
86 3.88815e-02 3.77611e-02 
87 4.18262e-02 4.02553e-02 
88 3.90037e-02 3.77536e-02 
89 3.91277e-02 3.78560e-02 
90 3.89946e-02 3.78040e-02 
91 3.90184e-02 3.79319e-02 
92 3.97656e-02 3.87238e-02 
93 3.89954e-02 3.79422e-02 
94 3.88516e-02 3.77295e-02 
95 3.89759e-02 3.77135e-02 
96 3.90000e-02 3.78072e-02 
97 3.88592e-02 3.77560e-02 
98 3.89742e-02 3.77753e-02 
99 3.88641e-02 3.76155e-02 
