# discard: [16]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7  8 10 11 13 14 15] 
0 4.19134e-02 4.11116e-02 
1 4.07044e-02 3.96264e-02 
2 4.48354e-02 4.23109e-02 
3 4.26379e-02 4.09636e-02 
4 1.14546e-01 1.12897e-01 
5 4.49432e-02 4.36944e-02 
6 4.62717e-02 4.34541e-02 
7 4.12532e-02 3.94453e-02 
8 4.24115e-02 4.11114e-02 
9 4.23658e-02 4.04309e-02 
10 3.98446e-02 3.86248e-02 
11 4.13496e-02 3.97620e-02 
12 4.06041e-02 3.90765e-02 
13 4.25827e-02 4.12349e-02 
14 4.13406e-02 3.96983e-02 
15 4.19178e-02 4.10262e-02 
16 4.12847e-02 3.96062e-02 
17 4.38707e-02 4.28064e-02 
18 4.20676e-02 4.09203e-02 
19 4.38941e-02 4.13790e-02 
20 4.45920e-02 4.28073e-02 
21 4.17271e-02 4.00631e-02 
22 4.35363e-02 4.18461e-02 
23 4.10852e-02 4.02028e-02 
24 4.03142e-02 3.89951e-02 
25 4.59658e-02 4.35021e-02 
26 3.94269e-02 3.79939e-02 
27 3.94706e-02 3.79510e-02 
28 3.93057e-02 3.79024e-02 
29 3.93556e-02 3.79131e-02 
30 3.99892e-02 3.84187e-02 
31 3.92066e-02 3.78400e-02 
32 3.99966e-02 3.83250e-02 
33 4.53180e-02 4.26282e-02 
34 4.03575e-02 3.90693e-02 
35 3.97293e-02 3.81597e-02 
36 4.34825e-02 4.10935e-02 
37 5.95975e-02 5.47866e-02 
38 4.00389e-02 3.85159e-02 
39 3.97419e-02 3.83205e-02 
40 4.91550e-02 4.55395e-02 
41 3.95540e-02 3.82036e-02 
42 4.21496e-02 4.00485e-02 
43 3.92591e-02 3.79471e-02 
44 3.94637e-02 3.79800e-02 
45 3.93699e-02 3.79311e-02 
46 4.01247e-02 3.86807e-02 
47 3.96771e-02 3.83707e-02 
48 3.93158e-02 3.78900e-02 
49 3.92387e-02 3.78368e-02 
50 3.91639e-02 3.78524e-02 
51 3.93438e-02 3.79333e-02 
52 3.95135e-02 3.80520e-02 
53 3.94691e-02 3.80614e-02 
54 4.00398e-02 3.84148e-02 
55 3.93442e-02 3.81566e-02 
56 3.90757e-02 3.77794e-02 
57 3.89568e-02 3.78305e-02 
58 3.89946e-02 3.78589e-02 
59 3.90790e-02 3.78346e-02 
60 3.93376e-02 3.79925e-02 
61 3.89313e-02 3.75962e-02 
62 3.89640e-02 3.77292e-02 
63 3.89528e-02 3.77181e-02 
64 3.89486e-02 3.77026e-02 
65 3.94190e-02 3.81443e-02 
66 3.91718e-02 3.79664e-02 
67 3.97535e-02 3.86437e-02 
68 3.92329e-02 3.80191e-02 
69 3.90320e-02 3.78672e-02 
70 3.91021e-02 3.78376e-02 
71 3.90928e-02 3.78560e-02 
72 3.89311e-02 3.76981e-02 
73 3.93365e-02 3.79842e-02 
74 3.94010e-02 3.82716e-02 
75 3.91355e-02 3.79029e-02 
76 3.92431e-02 3.79852e-02 
77 3.91221e-02 3.77793e-02 
78 3.93166e-02 3.81217e-02 
79 3.94313e-02 3.80710e-02 
80 3.89607e-02 3.77419e-02 
81 3.89762e-02 3.79060e-02 
82 3.89779e-02 3.78731e-02 
83 3.90371e-02 3.79196e-02 
84 3.90123e-02 3.76290e-02 
85 3.90593e-02 3.78776e-02 
86 3.91342e-02 3.79767e-02 
87 3.88060e-02 3.75891e-02 
88 3.92685e-02 3.78759e-02 
89 3.88121e-02 3.75206e-02 
90 3.86904e-02 3.72796e-02 
91 3.87137e-02 3.74824e-02 
92 3.87270e-02 3.74447e-02 
93 3.86993e-02 3.74306e-02 
94 3.89625e-02 3.76677e-02 
95 8.74486e-02 8.47480e-02 
96 3.87306e-02 3.74309e-02 
97 3.96837e-02 3.81316e-02 
98 3.86698e-02 3.73684e-02 
99 4.23698e-02 3.98361e-02 
