# discard: [7]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  8 10 11 13 14 15 16] 
0 4.29548e-02 4.08429e-02 
1 4.40590e-02 4.15830e-02 
2 5.45540e-02 5.12903e-02 
3 4.74393e-02 4.47645e-02 
4 4.29148e-02 4.10559e-02 
5 4.82800e-02 4.59979e-02 
6 4.34830e-02 4.16986e-02 
7 4.34686e-02 4.11867e-02 
8 4.31437e-02 4.09799e-02 
9 4.72799e-02 4.45136e-02 
10 6.46180e-02 5.97437e-02 
11 4.44221e-02 4.25171e-02 
12 4.41496e-02 4.16993e-02 
13 4.35028e-02 4.12167e-02 
14 4.53753e-02 4.29202e-02 
15 4.55147e-02 4.39633e-02 
16 4.65986e-02 4.38563e-02 
17 4.83589e-02 4.56957e-02 
18 4.38426e-02 4.22999e-02 
19 4.53958e-02 4.33921e-02 
20 6.19714e-02 5.74523e-02 
21 4.76857e-02 4.49737e-02 
22 4.43490e-02 4.26620e-02 
23 4.71229e-02 4.48343e-02 
24 4.70193e-02 4.41867e-02 
25 4.16579e-02 3.98208e-02 
26 4.17147e-02 3.99681e-02 
27 4.17980e-02 4.00084e-02 
28 4.18209e-02 4.00725e-02 
29 4.17062e-02 3.97815e-02 
30 4.17764e-02 3.98902e-02 
31 4.17331e-02 3.97152e-02 
32 4.17055e-02 3.98187e-02 
33 4.17666e-02 3.99625e-02 
34 4.18580e-02 3.99763e-02 
35 4.15951e-02 3.97181e-02 
36 4.24843e-02 4.05641e-02 
37 4.17436e-02 3.98214e-02 
38 4.16249e-02 3.99128e-02 
39 4.19506e-02 4.01550e-02 
40 4.18994e-02 3.99620e-02 
41 4.17350e-02 4.00509e-02 
42 4.20163e-02 4.02013e-02 
43 4.23024e-02 4.03762e-02 
44 4.16265e-02 3.97271e-02 
45 4.19140e-02 3.99578e-02 
46 4.21825e-02 4.01752e-02 
47 4.90097e-02 4.53074e-02 
48 4.26635e-02 4.05233e-02 
49 4.16392e-02 3.97565e-02 
50 4.37744e-02 4.13750e-02 
51 4.16942e-02 3.97599e-02 
52 4.17833e-02 3.98421e-02 
53 4.18323e-02 3.98245e-02 
54 4.32084e-02 4.09249e-02 
55 4.17929e-02 3.98375e-02 
56 4.20193e-02 4.00090e-02 
57 5.34548e-02 4.94400e-02 
58 4.18706e-02 3.99428e-02 
59 4.26510e-02 4.05213e-02 
60 4.24657e-02 4.07310e-02 
61 4.17095e-02 3.98766e-02 
62 4.16493e-02 3.99771e-02 
63 4.17217e-02 3.99492e-02 
64 4.18636e-02 4.00549e-02 
65 4.17772e-02 3.99309e-02 
66 4.17848e-02 3.98460e-02 
67 4.20469e-02 4.02784e-02 
68 4.14603e-02 3.95256e-02 
69 4.37305e-02 4.15284e-02 
70 4.19613e-02 3.99292e-02 
71 4.14390e-02 3.95822e-02 
72 4.14438e-02 3.95788e-02 
73 4.15852e-02 3.96651e-02 
74 4.16031e-02 3.97459e-02 
75 4.19592e-02 3.98879e-02 
76 4.34479e-02 4.10934e-02 
77 4.16528e-02 3.98251e-02 
78 4.17640e-02 3.98367e-02 
79 4.14807e-02 3.95721e-02 
80 4.14993e-02 3.95926e-02 
81 4.14893e-02 3.95792e-02 
82 4.15752e-02 3.96860e-02 
83 4.14610e-02 3.94537e-02 
84 4.15360e-02 3.96275e-02 
85 4.15667e-02 3.96855e-02 
86 4.15252e-02 3.96926e-02 
87 4.15753e-02 3.96729e-02 
88 4.15967e-02 3.96301e-02 
89 4.17303e-02 3.97770e-02 
90 4.38610e-02 4.15854e-02 
91 4.15844e-02 3.97696e-02 
92 4.15770e-02 3.96057e-02 
93 4.18445e-02 3.98023e-02 
94 4.64999e-02 4.37374e-02 
95 4.17095e-02 3.98188e-02 
96 4.17976e-02 3.98446e-02 
97 4.17093e-02 3.97458e-02 
98 4.15214e-02 3.96415e-02 
99 4.21157e-02 4.03083e-02 
