# discard: [4]
# discarded: [9, 12]
# [ 0  1  2  3  5  6  7  8 10 11 13 14 15 16] 
0 4.65945e-02 4.43085e-02 
1 4.56040e-02 4.39969e-02 
2 4.73454e-02 4.52184e-02 
3 4.28551e-02 4.13355e-02 
4 4.57538e-02 4.41965e-02 
5 4.66285e-02 4.51540e-02 
6 4.35004e-02 4.19366e-02 
7 4.38693e-02 4.21650e-02 
8 4.51934e-02 4.30729e-02 
9 4.55670e-02 4.36708e-02 
10 4.66836e-02 4.47957e-02 
11 5.56487e-02 5.17875e-02 
12 7.72092e-02 7.34178e-02 
13 4.23272e-02 4.10183e-02 
14 4.34008e-02 4.17336e-02 
15 4.54487e-02 4.37560e-02 
16 4.74590e-02 4.52174e-02 
17 4.60874e-02 4.42988e-02 
18 4.65466e-02 4.41296e-02 
19 4.25280e-02 4.09511e-02 
20 4.40319e-02 4.25474e-02 
21 4.34243e-02 4.17283e-02 
22 4.27541e-02 4.13021e-02 
23 4.55787e-02 4.33963e-02 
24 4.40507e-02 4.26421e-02 
25 5.77861e-02 5.37521e-02 
26 4.40297e-02 4.24634e-02 
27 4.28311e-02 4.11079e-02 
28 4.26785e-02 4.14106e-02 
29 4.28990e-02 4.14964e-02 
30 4.52433e-02 4.40755e-02 
31 4.23711e-02 4.10676e-02 
32 4.21502e-02 4.09620e-02 
33 4.20391e-02 4.06219e-02 
34 4.21601e-02 4.08101e-02 
35 4.18540e-02 4.06513e-02 
36 4.20369e-02 4.07088e-02 
37 4.17289e-02 4.03111e-02 
38 4.15818e-02 4.01433e-02 
39 4.33759e-02 4.15727e-02 
40 4.17059e-02 4.03119e-02 
41 4.16997e-02 4.02308e-02 
42 4.15952e-02 4.01732e-02 
43 4.19218e-02 4.04066e-02 
44 4.27623e-02 4.10479e-02 
45 4.18510e-02 4.04890e-02 
46 4.33065e-02 4.13525e-02 
47 4.57678e-02 4.34970e-02 
48 4.22744e-02 4.08048e-02 
49 4.27326e-02 4.10783e-02 
50 4.19531e-02 4.04606e-02 
51 4.16961e-02 4.04228e-02 
52 4.18078e-02 4.03011e-02 
53 4.16138e-02 4.02445e-02 
54 4.19264e-02 4.05610e-02 
55 4.23452e-02 4.06753e-02 
56 4.64817e-02 4.38940e-02 
57 4.37906e-02 4.19232e-02 
58 4.19586e-02 4.05300e-02 
59 4.19081e-02 4.05479e-02 
60 4.22268e-02 4.06824e-02 
61 4.18654e-02 4.05005e-02 
62 4.19397e-02 4.05097e-02 
63 4.18841e-02 4.05031e-02 
64 4.18518e-02 4.04000e-02 
65 4.23652e-02 4.07034e-02 
66 4.18225e-02 4.02812e-02 
67 5.07579e-02 4.72282e-02 
68 4.27307e-02 4.13293e-02 
69 5.14887e-02 4.77382e-02 
70 4.16956e-02 4.03632e-02 
71 4.18159e-02 4.02670e-02 
72 4.14953e-02 4.01660e-02 
73 4.14159e-02 4.00445e-02 
74 4.14546e-02 4.01152e-02 
75 4.17452e-02 4.02260e-02 
76 4.13308e-02 4.00200e-02 
77 4.15199e-02 4.01214e-02 
78 4.15079e-02 4.02150e-02 
79 4.24521e-02 4.08354e-02 
80 4.20747e-02 4.05797e-02 
81 4.17447e-02 4.03288e-02 
82 4.19694e-02 4.04510e-02 
83 4.22388e-02 4.07399e-02 
84 4.15789e-02 4.01991e-02 
85 4.16419e-02 4.02475e-02 
86 4.21408e-02 4.05652e-02 
87 4.33793e-02 4.14579e-02 
88 4.13431e-02 3.99830e-02 
89 4.19773e-02 4.04793e-02 
90 4.15370e-02 4.02111e-02 
91 4.14259e-02 4.01047e-02 
92 4.15310e-02 4.01222e-02 
93 4.17487e-02 4.02782e-02 
94 4.13977e-02 4.02175e-02 
95 4.14153e-02 4.01368e-02 
96 4.15316e-02 4.02247e-02 
97 4.13721e-02 4.02674e-02 
98 4.13419e-02 4.00575e-02 
99 4.14256e-02 4.01474e-02 
