# discard: [8]
# discarded: [9, 12]
# [ 0  1  2  3  4  5  6  7 10 11 13 14 15 16] 
0 4.37526e-02 4.20367e-02 
1 4.73539e-02 4.39423e-02 
2 4.39807e-02 4.21742e-02 
3 4.50435e-02 4.28858e-02 
4 4.33092e-02 4.14244e-02 
5 4.34472e-02 4.14302e-02 
6 5.57285e-02 5.11845e-02 
7 4.19400e-02 4.03129e-02 
8 4.22345e-02 4.02291e-02 
9 4.41886e-02 4.15735e-02 
10 4.32376e-02 4.18985e-02 
11 4.34518e-02 4.14288e-02 
12 4.20922e-02 4.07386e-02 
13 5.57675e-02 5.10098e-02 
14 4.39796e-02 4.20009e-02 
15 4.39004e-02 4.26965e-02 
16 4.49359e-02 4.26766e-02 
17 5.11683e-02 4.81743e-02 
18 4.19326e-02 4.00906e-02 
19 4.14787e-02 3.97095e-02 
20 4.39540e-02 4.16363e-02 
21 4.47958e-02 4.28265e-02 
22 4.47607e-02 4.27097e-02 
23 3.97210e-02 3.85910e-02 
24 4.46152e-02 4.20776e-02 
25 4.12181e-02 3.95314e-02 
26 4.10657e-02 3.93000e-02 
27 4.10758e-02 3.94117e-02 
28 4.01790e-02 3.87084e-02 
29 4.01239e-02 3.87135e-02 
30 3.99887e-02 3.85642e-02 
31 4.02198e-02 3.87630e-02 
32 4.00021e-02 3.88467e-02 
33 4.01187e-02 3.89793e-02 
34 3.99628e-02 3.87119e-02 
35 4.01126e-02 3.88228e-02 
36 4.04623e-02 3.92210e-02 
37 4.06119e-02 3.95510e-02 
38 3.99147e-02 3.88473e-02 
39 3.94455e-02 3.83128e-02 
40 3.98925e-02 3.87492e-02 
41 4.02761e-02 3.93730e-02 
42 4.04188e-02 3.95230e-02 
43 3.98357e-02 3.85575e-02 
44 3.97674e-02 3.86520e-02 
45 3.98054e-02 3.85818e-02 
46 3.98179e-02 3.84949e-02 
47 4.00008e-02 3.87570e-02 
48 4.01952e-02 3.87959e-02 
49 3.93441e-02 3.83111e-02 
50 3.95552e-02 3.84465e-02 
51 3.96344e-02 3.83504e-02 
52 3.95906e-02 3.83158e-02 
53 3.96509e-02 3.83253e-02 
54 3.96065e-02 3.83204e-02 
55 3.94169e-02 3.81522e-02 
56 3.92440e-02 3.81018e-02 
57 3.94648e-02 3.82680e-02 
58 3.94003e-02 3.81912e-02 
59 3.90942e-02 3.78070e-02 
60 3.91292e-02 3.78404e-02 
61 3.92067e-02 3.77821e-02 
62 3.92386e-02 3.77794e-02 
63 3.92768e-02 3.78389e-02 
64 3.96043e-02 3.81943e-02 
65 3.93087e-02 3.78812e-02 
66 3.96333e-02 3.81115e-02 
67 4.01930e-02 3.87900e-02 
68 3.91434e-02 3.78449e-02 
69 3.97177e-02 3.81876e-02 
70 4.06089e-02 3.89319e-02 
71 3.93167e-02 3.79411e-02 
72 3.91569e-02 3.78362e-02 
73 3.94483e-02 3.80018e-02 
74 5.10877e-02 4.70767e-02 
75 3.96713e-02 3.82395e-02 
76 3.97417e-02 3.84397e-02 
77 4.70932e-02 4.35614e-02 
78 3.94842e-02 3.80720e-02 
79 4.11100e-02 3.93461e-02 
80 3.97417e-02 3.83653e-02 
81 3.92204e-02 3.78884e-02 
82 3.93630e-02 3.78585e-02 
83 3.98425e-02 3.84689e-02 
84 4.05542e-02 3.88696e-02 
85 3.91171e-02 3.77731e-02 
86 3.94180e-02 3.80432e-02 
87 3.93444e-02 3.80377e-02 
88 3.92898e-02 3.79396e-02 
89 4.31476e-02 4.11222e-02 
90 4.02307e-02 3.89468e-02 
91 3.94859e-02 3.80094e-02 
92 3.90602e-02 3.77503e-02 
93 6.52669e-02 6.13787e-02 
94 3.90457e-02 3.77275e-02 
95 3.91550e-02 3.78966e-02 
96 3.91338e-02 3.78335e-02 
97 3.91032e-02 3.78199e-02 
98 3.90646e-02 3.77703e-02 
99 3.90281e-02 3.77818e-02 
