# discard: [2]
# discarded: [9, 12]
# [ 0  1  3  4  5  6  7  8 10 11 13 14 15 16] 
0 4.70316e-02 4.50617e-02 
1 5.96946e-02 5.46933e-02 
2 4.56934e-02 4.40382e-02 
3 4.39116e-02 4.23091e-02 
4 4.09947e-02 3.96388e-02 
5 4.25761e-02 4.12642e-02 
6 4.19937e-02 4.03930e-02 
7 4.30814e-02 4.10591e-02 
8 4.17550e-02 4.06157e-02 
9 4.03460e-02 3.93652e-02 
10 4.45938e-02 4.28166e-02 
11 4.14757e-02 3.99937e-02 
12 4.85343e-02 4.49409e-02 
13 4.08328e-02 3.92267e-02 
14 4.49078e-02 4.32596e-02 
15 3.98736e-02 3.85183e-02 
16 4.12676e-02 4.03177e-02 
17 4.39634e-02 4.24588e-02 
18 4.25748e-02 4.09531e-02 
19 4.09324e-02 3.95674e-02 
20 6.89193e-02 6.37794e-02 
21 4.02420e-02 3.87856e-02 
22 4.53794e-02 4.34065e-02 
23 4.15861e-02 4.02369e-02 
24 4.41613e-02 4.16285e-02 
25 4.00039e-02 3.86881e-02 
26 4.03694e-02 3.88951e-02 
27 4.43720e-02 4.16823e-02 
28 4.02378e-02 3.87878e-02 
29 4.05212e-02 3.89860e-02 
30 4.20492e-02 4.01222e-02 
31 4.02552e-02 3.88390e-02 
32 4.03102e-02 3.90935e-02 
33 4.05485e-02 3.90387e-02 
34 4.12630e-02 3.96553e-02 
35 7.24312e-02 6.87807e-02 
36 4.02317e-02 3.86706e-02 
37 4.08258e-02 3.91200e-02 
38 3.99006e-02 3.84122e-02 
39 4.00251e-02 3.85060e-02 
40 4.57972e-02 4.25756e-02 
41 4.06144e-02 3.89414e-02 
42 3.99743e-02 3.84866e-02 
43 4.16008e-02 3.97130e-02 
44 3.95112e-02 3.82287e-02 
45 3.94652e-02 3.79828e-02 
46 3.94863e-02 3.80162e-02 
47 3.92838e-02 3.78941e-02 
48 3.91843e-02 3.78211e-02 
49 3.92611e-02 3.79133e-02 
50 3.93121e-02 3.80232e-02 
51 3.92739e-02 3.79083e-02 
52 3.93046e-02 3.79360e-02 
53 3.94898e-02 3.81376e-02 
54 3.96787e-02 3.83974e-02 
55 3.98110e-02 3.82734e-02 
56 4.01990e-02 3.88618e-02 
57 3.96016e-02 3.81262e-02 
58 3.95384e-02 3.82467e-02 
59 4.03012e-02 3.88952e-02 
60 3.96506e-02 3.81575e-02 
61 3.94259e-02 3.80537e-02 
62 3.90143e-02 3.78041e-02 
63 3.96566e-02 3.84210e-02 
64 3.91104e-02 3.78813e-02 
65 3.93918e-02 3.79353e-02 
66 3.90977e-02 3.77904e-02 
67 3.95811e-02 3.81339e-02 
68 3.96887e-02 3.81742e-02 
69 3.96917e-02 3.83019e-02 
70 3.95331e-02 3.80579e-02 
71 3.93726e-02 3.82213e-02 
72 3.92249e-02 3.78872e-02 
73 4.00306e-02 3.87410e-02 
74 3.91591e-02 3.78520e-02 
75 3.91485e-02 3.79024e-02 
76 3.93784e-02 3.80770e-02 
77 3.94798e-02 3.80819e-02 
78 4.04832e-02 3.93016e-02 
79 3.97706e-02 3.83084e-02 
80 3.89605e-02 3.77834e-02 
81 3.89886e-02 3.77303e-02 
82 4.01917e-02 3.86253e-02 
83 3.92997e-02 3.78946e-02 
84 3.89564e-02 3.76775e-02 
85 3.91164e-02 3.77113e-02 
86 3.91114e-02 3.77965e-02 
87 3.92277e-02 3.78056e-02 
88 3.98032e-02 3.83449e-02 
89 3.91788e-02 3.78093e-02 
90 3.92455e-02 3.79081e-02 
91 3.89055e-02 3.75879e-02 
92 3.89777e-02 3.77054e-02 
93 3.93091e-02 3.79418e-02 
94 3.90496e-02 3.77698e-02 
95 3.92202e-02 3.78466e-02 
96 3.92988e-02 3.79883e-02 
97 3.96019e-02 3.81432e-02 
98 3.89452e-02 3.77120e-02 
99 3.89791e-02 3.77415e-02 
