# discard: [1]
# discarded: [9, 2]
# [ 0  3  4  5  6  7  8 10 11 12 13] 
0 4.44157e-02 4.42423e-02 
1 6.39127e-02 6.44383e-02 
2 4.52055e-02 4.50933e-02 
3 4.73504e-02 4.71580e-02 
4 4.33963e-02 4.29207e-02 
5 4.38991e-02 4.35824e-02 
6 4.46826e-02 4.44215e-02 
7 4.64544e-02 4.65437e-02 
8 4.62590e-02 4.65648e-02 
9 4.60031e-02 4.54848e-02 
10 7.65542e-02 7.66487e-02 
11 4.55744e-02 4.54811e-02 
12 4.51996e-02 4.49760e-02 
13 4.50632e-02 4.48152e-02 
14 4.44487e-02 4.41013e-02 
15 4.35678e-02 4.30932e-02 
16 4.80556e-02 4.85566e-02 
17 4.54856e-02 4.53274e-02 
18 4.64404e-02 4.63078e-02 
19 4.62820e-02 4.61813e-02 
20 5.53454e-02 5.56692e-02 
21 4.36406e-02 4.32690e-02 
22 4.63700e-02 4.64354e-02 
23 4.38779e-02 4.34821e-02 
24 4.47701e-02 4.43906e-02 
25 4.35988e-02 4.32138e-02 
26 4.33428e-02 4.29778e-02 
27 4.34964e-02 4.31037e-02 
28 4.34390e-02 4.29872e-02 
29 4.36582e-02 4.32897e-02 
30 4.34937e-02 4.31192e-02 
31 4.35415e-02 4.31995e-02 
32 4.32721e-02 4.28554e-02 
33 4.32787e-02 4.27872e-02 
34 4.32323e-02 4.27732e-02 
35 4.34505e-02 4.29926e-02 
36 4.35706e-02 4.31718e-02 
37 4.33181e-02 4.28281e-02 
38 4.42276e-02 4.39122e-02 
39 4.38554e-02 4.33815e-02 
40 4.41973e-02 4.36581e-02 
41 4.31660e-02 4.26253e-02 
42 4.32110e-02 4.27442e-02 
43 4.31506e-02 4.26484e-02 
44 4.32927e-02 4.27651e-02 
45 4.28841e-02 4.25036e-02 
46 7.42454e-02 7.38921e-02 
47 4.31594e-02 4.26776e-02 
48 4.32256e-02 4.27030e-02 
49 4.30778e-02 4.25170e-02 
50 4.30924e-02 4.26629e-02 
51 4.31074e-02 4.26419e-02 
52 4.30414e-02 4.24952e-02 
53 6.38893e-02 6.34059e-02 
54 4.33259e-02 4.28755e-02 
55 4.30141e-02 4.25623e-02 
56 4.41544e-02 4.37807e-02 
57 4.30383e-02 4.26128e-02 
58 4.30933e-02 4.26183e-02 
59 4.34132e-02 4.30217e-02 
60 4.33852e-02 4.28749e-02 
61 4.30563e-02 4.25623e-02 
62 4.30004e-02 4.25387e-02 
63 4.31053e-02 4.25599e-02 
64 4.30973e-02 4.26161e-02 
65 4.32818e-02 4.28755e-02 
66 4.49385e-02 4.47401e-02 
67 4.32684e-02 4.27770e-02 
68 4.31367e-02 4.26686e-02 
69 4.30380e-02 4.24670e-02 
70 4.35521e-02 4.31268e-02 
71 4.29993e-02 4.25028e-02 
72 4.29841e-02 4.25023e-02 
73 4.29522e-02 4.24407e-02 
74 4.29533e-02 4.24569e-02 
75 4.29585e-02 4.24830e-02 
76 4.28890e-02 4.23578e-02 
77 4.29752e-02 4.25667e-02 
78 4.30526e-02 4.25662e-02 
79 4.29031e-02 4.24505e-02 
80 4.27681e-02 4.22812e-02 
81 4.28167e-02 4.23210e-02 
82 4.28041e-02 4.22932e-02 
83 4.27661e-02 4.23123e-02 
84 4.27582e-02 4.22702e-02 
85 4.27681e-02 4.23343e-02 
86 4.27646e-02 4.23436e-02 
87 4.27807e-02 4.23001e-02 
88 4.28092e-02 4.23794e-02 
89 4.28023e-02 4.24042e-02 
90 4.76467e-02 4.83399e-02 
91 4.28006e-02 4.23624e-02 
92 4.27964e-02 4.23323e-02 
93 4.28162e-02 4.22726e-02 
94 4.27443e-02 4.22497e-02 
95 4.27721e-02 4.22922e-02 
96 4.27596e-02 4.23080e-02 
97 4.27617e-02 4.23176e-02 
98 4.27668e-02 4.23163e-02 
99 4.62657e-02 4.62900e-02 
