# discard: [5]
# discarded: [9, 2]
# [ 0  1  3  4  6  7  8 10 11 12 13] 
0 4.23651e-02 4.25597e-02 
1 4.00855e-02 3.98856e-02 
2 4.19833e-02 4.16330e-02 
3 4.33139e-02 4.33012e-02 
4 5.33087e-02 5.31603e-02 
5 4.27506e-02 4.24353e-02 
6 4.36801e-02 4.34774e-02 
7 4.17882e-02 4.18892e-02 
8 4.04124e-02 4.00788e-02 
9 6.88332e-02 6.89631e-02 
10 4.33519e-02 4.30096e-02 
11 4.03550e-02 3.98016e-02 
12 4.35918e-02 4.35035e-02 
13 3.98819e-02 3.97606e-02 
14 4.09337e-02 4.06549e-02 
15 4.22663e-02 4.24679e-02 
16 4.47353e-02 4.45401e-02 
17 4.34534e-02 4.38134e-02 
18 4.28090e-02 4.32525e-02 
19 3.92496e-02 3.88494e-02 
20 4.00606e-02 3.96049e-02 
21 4.18320e-02 4.14577e-02 
22 4.23043e-02 4.28706e-02 
23 4.05600e-02 4.01579e-02 
24 4.26189e-02 4.22172e-02 
25 3.91801e-02 3.87687e-02 
26 3.94033e-02 3.89276e-02 
27 3.91139e-02 3.87143e-02 
28 4.01908e-02 4.00063e-02 
29 3.95088e-02 3.91691e-02 
30 3.93620e-02 3.91795e-02 
31 3.92813e-02 3.90242e-02 
32 3.89634e-02 3.86163e-02 
33 3.90496e-02 3.86685e-02 
34 3.95797e-02 3.93024e-02 
35 3.89718e-02 3.85343e-02 
36 3.90034e-02 3.86126e-02 
37 3.90495e-02 3.87114e-02 
38 3.92180e-02 3.88606e-02 
39 3.89504e-02 3.85126e-02 
40 3.89197e-02 3.85160e-02 
41 3.89297e-02 3.85049e-02 
42 6.92950e-02 6.93444e-02 
43 3.89910e-02 3.85586e-02 
44 3.90133e-02 3.87071e-02 
45 3.94090e-02 3.90694e-02 
46 3.92266e-02 3.89535e-02 
47 3.89261e-02 3.84382e-02 
48 5.38335e-02 5.36651e-02 
49 3.88224e-02 3.83352e-02 
50 3.88704e-02 3.83866e-02 
51 3.88885e-02 3.84471e-02 
52 3.89043e-02 3.83679e-02 
53 3.88901e-02 3.83984e-02 
54 3.88365e-02 3.83623e-02 
55 3.88771e-02 3.84274e-02 
56 3.90744e-02 3.86479e-02 
57 3.89161e-02 3.84997e-02 
58 3.90285e-02 3.85043e-02 
59 3.95232e-02 3.90772e-02 
60 3.91508e-02 3.88592e-02 
61 3.88193e-02 3.83374e-02 
62 3.87163e-02 3.82265e-02 
63 3.87299e-02 3.82435e-02 
64 3.87042e-02 3.82088e-02 
65 3.87369e-02 3.83007e-02 
66 3.87993e-02 3.83659e-02 
67 3.87565e-02 3.83084e-02 
68 3.90785e-02 3.87501e-02 
69 3.86998e-02 3.82314e-02 
70 3.88064e-02 3.83609e-02 
71 3.87676e-02 3.83020e-02 
72 3.87157e-02 3.82716e-02 
73 3.86914e-02 3.82482e-02 
74 3.98720e-02 3.95739e-02 
75 3.86731e-02 3.81813e-02 
76 3.86857e-02 3.81738e-02 
77 3.87077e-02 3.82141e-02 
78 3.86921e-02 3.82106e-02 
79 3.86891e-02 3.82308e-02 
80 3.87026e-02 3.82598e-02 
81 3.86910e-02 3.82071e-02 
82 3.86678e-02 3.82340e-02 
83 3.86964e-02 3.82015e-02 
84 3.87712e-02 3.82988e-02 
85 4.50767e-02 4.48313e-02 
86 3.95007e-02 3.92136e-02 
87 3.86840e-02 3.82281e-02 
88 3.87086e-02 3.82208e-02 
89 3.87810e-02 3.83152e-02 
90 3.87273e-02 3.82537e-02 
91 3.86716e-02 3.81773e-02 
92 4.01441e-02 3.97355e-02 
93 3.87006e-02 3.81854e-02 
94 3.87564e-02 3.83266e-02 
95 3.90755e-02 3.87496e-02 
96 3.87390e-02 3.82876e-02 
97 3.94629e-02 3.91354e-02 
98 3.91293e-02 3.88912e-02 
99 3.87863e-02 3.83582e-02 
