# discard: [3]
# discarded: [9, 2]
# [ 0  1  4  5  6  7  8 10 11 12 13] 
0 4.19826e-02 4.20235e-02 
1 4.06230e-02 4.05830e-02 
2 4.28063e-02 4.30448e-02 
3 4.14129e-02 4.14354e-02 
4 4.15304e-02 4.15042e-02 
5 4.21621e-02 4.26479e-02 
6 4.17254e-02 4.17141e-02 
7 4.00012e-02 3.98042e-02 
8 4.30034e-02 4.29133e-02 
9 4.06566e-02 4.06877e-02 
10 4.04945e-02 4.04343e-02 
11 4.09859e-02 4.12389e-02 
12 4.26739e-02 4.24867e-02 
13 4.32870e-02 4.37013e-02 
14 4.07321e-02 4.09541e-02 
15 4.23789e-02 4.24403e-02 
16 4.01491e-02 4.01411e-02 
17 4.08786e-02 4.09381e-02 
18 4.09858e-02 4.09864e-02 
19 4.04180e-02 4.05094e-02 
20 4.17590e-02 4.17926e-02 
21 4.00292e-02 3.99791e-02 
22 4.50610e-02 4.57449e-02 
23 4.00534e-02 3.99513e-02 
24 4.27638e-02 4.28173e-02 
25 3.97901e-02 3.96886e-02 
26 3.99932e-02 3.99591e-02 
27 4.00057e-02 3.98635e-02 
28 3.97542e-02 3.95847e-02 
29 3.91833e-02 3.88991e-02 
30 3.94231e-02 3.92560e-02 
31 3.94447e-02 3.92100e-02 
32 3.96291e-02 3.93178e-02 
33 3.96371e-02 3.93488e-02 
34 3.95517e-02 3.92654e-02 
35 3.95183e-02 3.92262e-02 
36 3.97840e-02 3.95575e-02 
37 3.94018e-02 3.91078e-02 
38 3.93127e-02 3.91600e-02 
39 3.93354e-02 3.91687e-02 
40 3.92465e-02 3.90908e-02 
41 3.92420e-02 3.90715e-02 
42 3.94099e-02 3.92456e-02 
43 7.54161e-02 7.56420e-02 
44 3.96554e-02 3.96123e-02 
45 5.14080e-02 5.14306e-02 
46 3.92525e-02 3.90196e-02 
47 3.93149e-02 3.90428e-02 
48 3.95176e-02 3.94228e-02 
49 4.01155e-02 4.02043e-02 
50 3.91240e-02 3.89638e-02 
51 3.91243e-02 3.89754e-02 
52 3.92395e-02 3.90373e-02 
53 3.93644e-02 3.92024e-02 
54 3.92204e-02 3.91055e-02 
55 3.96727e-02 3.97320e-02 
56 3.91146e-02 3.89349e-02 
57 3.91291e-02 3.89319e-02 
58 3.92310e-02 3.91120e-02 
59 5.56989e-02 5.58320e-02 
60 4.00564e-02 4.00705e-02 
61 3.92471e-02 3.91068e-02 
62 4.01943e-02 4.03497e-02 
63 3.92102e-02 3.90273e-02 
64 3.90868e-02 3.89317e-02 
65 4.06823e-02 4.07330e-02 
66 3.90683e-02 3.88970e-02 
67 3.92291e-02 3.89496e-02 
68 3.91930e-02 3.88987e-02 
69 3.91192e-02 3.88981e-02 
70 3.93261e-02 3.91663e-02 
71 3.90625e-02 3.88012e-02 
72 3.91375e-02 3.88993e-02 
73 3.92148e-02 3.89540e-02 
74 3.90341e-02 3.87920e-02 
75 3.90599e-02 3.88168e-02 
76 3.91368e-02 3.89508e-02 
77 3.91760e-02 3.89775e-02 
78 3.91235e-02 3.89404e-02 
79 3.93037e-02 3.91116e-02 
80 3.93924e-02 3.92221e-02 
81 3.91199e-02 3.88409e-02 
82 3.91493e-02 3.89341e-02 
83 3.92641e-02 3.90619e-02 
84 3.90788e-02 3.88445e-02 
85 3.90250e-02 3.88197e-02 
86 3.94271e-02 3.92569e-02 
87 3.94155e-02 3.92878e-02 
88 3.90453e-02 3.88569e-02 
89 3.92216e-02 3.91537e-02 
90 4.06565e-02 4.04690e-02 
91 3.91074e-02 3.89208e-02 
92 3.91463e-02 3.89601e-02 
93 3.90455e-02 3.88597e-02 
94 3.90321e-02 3.88747e-02 
95 3.99125e-02 3.98945e-02 
96 3.97881e-02 3.98456e-02 
97 3.89750e-02 3.87499e-02 
98 4.28262e-02 4.28241e-02 
99 3.89552e-02 3.87758e-02 
