# discard: [12]
# discarded: [9, 2]
# [ 0  1  3  4  5  6  7  8 10 11 13] 
0 4.31353e-02 4.37888e-02 
1 4.04471e-02 4.03135e-02 
2 4.30512e-02 4.28061e-02 
3 4.21298e-02 4.18522e-02 
4 4.06575e-02 4.07010e-02 
5 4.10143e-02 4.08032e-02 
6 4.04717e-02 4.02110e-02 
7 4.25367e-02 4.24629e-02 
8 4.00275e-02 3.98471e-02 
9 4.18977e-02 4.20271e-02 
10 4.02200e-02 4.01388e-02 
11 4.05791e-02 4.05004e-02 
12 4.28706e-02 4.27270e-02 
13 4.15498e-02 4.18916e-02 
14 4.19994e-02 4.17325e-02 
15 4.07785e-02 4.09625e-02 
16 4.17055e-02 4.16283e-02 
17 3.98676e-02 3.96600e-02 
18 4.05476e-02 4.04557e-02 
19 4.02829e-02 4.04026e-02 
20 4.22593e-02 4.25809e-02 
21 4.12815e-02 4.11784e-02 
22 4.20610e-02 4.18764e-02 
23 4.05422e-02 4.02745e-02 
24 4.16301e-02 4.16356e-02 
25 3.91352e-02 3.89354e-02 
26 3.94355e-02 3.92808e-02 
27 3.91533e-02 3.89815e-02 
28 3.90723e-02 3.88531e-02 
29 3.91021e-02 3.88226e-02 
30 3.91236e-02 3.88246e-02 
31 3.89395e-02 3.86898e-02 
32 3.89376e-02 3.86197e-02 
33 3.86864e-02 3.83939e-02 
34 3.86858e-02 3.83766e-02 
35 3.86630e-02 3.83566e-02 
36 5.24673e-02 5.24579e-02 
37 6.11222e-02 6.11811e-02 
38 3.86305e-02 3.83600e-02 
39 3.86240e-02 3.83145e-02 
40 3.88409e-02 3.85285e-02 
41 3.86814e-02 3.84167e-02 
42 4.89281e-02 4.89812e-02 
43 3.87521e-02 3.84872e-02 
44 3.86676e-02 3.82984e-02 
45 3.90041e-02 3.87260e-02 
46 3.88201e-02 3.85235e-02 
47 3.89725e-02 3.88758e-02 
48 3.87406e-02 3.84587e-02 
49 3.99039e-02 3.96650e-02 
50 3.93794e-02 3.90838e-02 
51 3.86953e-02 3.84333e-02 
52 3.91220e-02 3.89549e-02 
53 3.85348e-02 3.82007e-02 
54 3.89682e-02 3.86363e-02 
55 3.86123e-02 3.83267e-02 
56 3.87041e-02 3.84966e-02 
57 3.88297e-02 3.85661e-02 
58 3.92105e-02 3.88745e-02 
59 4.67595e-02 4.67758e-02 
60 3.86198e-02 3.83125e-02 
61 3.85663e-02 3.81928e-02 
62 3.85408e-02 3.82658e-02 
63 3.85595e-02 3.82447e-02 
64 3.85727e-02 3.82923e-02 
65 3.85765e-02 3.83254e-02 
66 3.85989e-02 3.82920e-02 
67 3.88286e-02 3.86038e-02 
68 4.35738e-02 4.34859e-02 
69 4.02353e-02 4.02055e-02 
70 3.86063e-02 3.83503e-02 
71 3.85555e-02 3.82700e-02 
72 3.93711e-02 3.92737e-02 
73 3.87046e-02 3.83926e-02 
74 3.86585e-02 3.84494e-02 
75 3.85722e-02 3.83162e-02 
76 3.86058e-02 3.83452e-02 
77 3.92265e-02 3.89180e-02 
78 4.37101e-02 4.48573e-02 
79 3.85979e-02 3.83067e-02 
80 3.92467e-02 3.91824e-02 
81 3.85494e-02 3.82493e-02 
82 4.77364e-02 4.76576e-02 
83 3.86889e-02 3.84281e-02 
84 3.86679e-02 3.83411e-02 
85 3.86220e-02 3.83223e-02 
86 3.87226e-02 3.85245e-02 
87 3.87002e-02 3.84342e-02 
88 4.02072e-02 4.00041e-02 
89 3.88301e-02 3.86103e-02 
90 3.88568e-02 3.85706e-02 
91 3.86197e-02 3.82849e-02 
92 3.85991e-02 3.82406e-02 
93 3.86692e-02 3.83942e-02 
94 3.85685e-02 3.83203e-02 
95 4.04566e-02 4.06070e-02 
96 3.86114e-02 3.83387e-02 
97 4.01014e-02 4.01699e-02 
98 3.87555e-02 3.84585e-02 
99 3.95847e-02 3.92078e-02 
