# discard: [7]
# discarded: [9, 2]
# [ 0  1  3  4  5  6  8 10 11 12 13] 
0 4.09078e-02 4.11273e-02 
1 4.20957e-02 4.26089e-02 
2 4.33912e-02 4.38297e-02 
3 4.33858e-02 4.38750e-02 
4 4.15419e-02 4.20510e-02 
5 4.10577e-02 4.15395e-02 
6 1.06520e-01 1.08989e-01 
7 4.09138e-02 4.14301e-02 
8 4.25457e-02 4.32249e-02 
9 4.51706e-02 4.69428e-02 
10 4.30548e-02 4.35116e-02 
11 4.07578e-02 4.13291e-02 
12 4.07048e-02 4.09648e-02 
13 4.39021e-02 4.47113e-02 
14 4.29129e-02 4.41135e-02 
15 4.37234e-02 4.41208e-02 
16 4.78368e-02 4.99083e-02 
17 4.70984e-02 4.77776e-02 
18 4.21889e-02 4.26437e-02 
19 4.14231e-02 4.19512e-02 
20 4.19981e-02 4.27347e-02 
21 4.01363e-02 4.06671e-02 
22 4.12876e-02 4.15931e-02 
23 4.31617e-02 4.35310e-02 
24 1.53592e-01 1.55350e-01 
25 3.98429e-02 4.02750e-02 
26 3.98458e-02 4.03139e-02 
27 3.97961e-02 4.02776e-02 
28 3.97430e-02 4.02425e-02 
29 3.98564e-02 4.02789e-02 
30 3.96777e-02 4.01094e-02 
31 3.97303e-02 4.01651e-02 
32 3.97613e-02 4.02620e-02 
33 3.97441e-02 4.01726e-02 
34 4.00747e-02 4.05504e-02 
35 3.94249e-02 3.98312e-02 
36 3.94967e-02 3.98735e-02 
37 3.94979e-02 3.99077e-02 
38 4.01229e-02 4.04485e-02 
39 3.95241e-02 3.99603e-02 
40 3.94839e-02 3.99314e-02 
41 3.94953e-02 3.99209e-02 
42 3.99913e-02 4.03371e-02 
43 3.94756e-02 4.00087e-02 
44 3.97415e-02 4.02771e-02 
45 4.02868e-02 4.05550e-02 
46 3.97277e-02 4.00509e-02 
47 4.08129e-02 4.10676e-02 
48 4.06668e-02 4.11133e-02 
49 3.96496e-02 4.00642e-02 
50 3.96738e-02 4.01731e-02 
51 3.94761e-02 3.99097e-02 
52 3.94882e-02 3.98450e-02 
53 3.95719e-02 3.99658e-02 
54 5.19664e-02 5.30071e-02 
55 3.97593e-02 4.01653e-02 
56 4.00817e-02 4.04835e-02 
57 3.95786e-02 4.00718e-02 
58 3.96709e-02 4.00383e-02 
59 3.98770e-02 4.03117e-02 
60 3.93658e-02 3.98182e-02 
61 3.94088e-02 3.98241e-02 
62 3.94359e-02 3.98339e-02 
63 3.95013e-02 3.99234e-02 
64 3.95186e-02 3.98660e-02 
65 3.97610e-02 4.02697e-02 
66 4.02757e-02 4.08499e-02 
67 3.95658e-02 3.99687e-02 
68 3.95720e-02 3.98848e-02 
69 3.96727e-02 4.00215e-02 
70 3.99102e-02 4.03826e-02 
71 3.95563e-02 3.99338e-02 
72 3.94889e-02 3.98588e-02 
73 3.95519e-02 3.99661e-02 
74 3.93283e-02 3.97486e-02 
75 4.09678e-02 4.14521e-02 
76 3.96993e-02 4.01680e-02 
77 3.95632e-02 3.99498e-02 
78 3.95799e-02 3.99419e-02 
79 5.06285e-02 5.16615e-02 
80 3.93806e-02 3.97921e-02 
81 3.93397e-02 3.97178e-02 
82 3.94272e-02 3.98129e-02 
83 3.95438e-02 3.98453e-02 
84 3.97127e-02 4.02129e-02 
85 3.95172e-02 3.98971e-02 
86 3.93547e-02 3.97374e-02 
87 3.94160e-02 3.97841e-02 
88 3.94178e-02 3.98132e-02 
89 3.94888e-02 3.98863e-02 
90 4.03895e-02 4.10300e-02 
91 3.94068e-02 3.98481e-02 
92 3.94547e-02 3.98530e-02 
93 4.00106e-02 4.04865e-02 
94 3.95068e-02 3.98894e-02 
95 3.95850e-02 3.99621e-02 
96 3.94933e-02 3.99732e-02 
97 3.99716e-02 4.05139e-02 
98 3.94612e-02 3.98851e-02 
99 3.95570e-02 3.99373e-02 
